CDL-C	10	9	100.00
CDL-C	8	9	100.00
CDL-C	7	9	100.00
CDL-C	5	10	100.00
CDL-C	6	10	100.00
CDL-C	4	10	100.00
CDL-C	3	10	100.00
CDL-C	2	10	100.00
CDL-C	1	10	29.65
CDL-C	9	10	100.00
CDL-C	11	10	100.00
CDL-C	12	10	100.00
CDL-C	10	10	100.00
CDL-C	8	10	100.00
CDL-C	7	10	100.00
CDL-D	6	0	100.00
CDL-D	5	0	100.00
CDL-D	4	0	100.00
CDL-D	3	0	100.00
CDL-D	2	0	100.00
CDL-D	12	0	100.00
CDL-D	11	0	100.00
CDL-D	10	0	100.00
CDL-D	9	0	100.00
CDL-D	1	0	100.00
CDL-D	8	0	100.00
CDL-D	7	0	100.00
CDL-D	6	1	100.00
CDL-D	5	1	100.00
CDL-D	4	1	100.00
CDL-D	3	1	100.00
CDL-D	2	1	100.00
CDL-D	12	1	100.00
CDL-D	11	1	100.00
CDL-D	10	1	100.00
CDL-D	9	1	100.00
CDL-D	1	1	100.00
CDL-D	8	1	100.00
CDL-D	7	1	100.00
CDL-D	6	2	99.00
CDL-D	5	2	98.90
CDL-D	4	2	98.60
CDL-D	3	2	95.20
CDL-D	2	2	94.15
CDL-D	12	2	100.00
CDL-D	11	2	100.00
CDL-D	10	2	100.00
CDL-D	9	2	100.00
CDL-D	1	2	93.15
CDL-D	8	2	100.00
CDL-D	7	2	100.00
CDL-D	6	3	36.05
CDL-D	5	3	37.20
CDL-D	4	3	27.60
CDL-D	3	3	13.35
CDL-D	2	3	8.35
CDL-D	11	3	100.00
CDL-D	12	3	100.00
CDL-D	9	3	100.00
CDL-D	10	3	100.00
CDL-D	1	3	6.35
CDL-D	8	3	100.00
CDL-D	7	3	50.95
CDL-D	6	4	0.75
CDL-D	5	4	0.55
CDL-D	4	4	0.10
CDL-D	3	4	0.00
CDL-D	2	4	0.00
CDL-D	12	4	100.00
CDL-D	11	4	100.00
CDL-D	1	4	0.00
CDL-D	9	4	98.55
CDL-D	10	4	100.00
CDL-D	8	4	4.65
CDL-D	7	4	1.95
CDL-D	6	5	0.00
CDL-D	5	5	0.00
CDL-D	4	5	0.00
CDL-D	3	5	0.00
CDL-D	2	5	0.00
CDL-D	9	5	2.60
CDL-D	1	5	0.00
CDL-D	12	5	100.00
CDL-D	11	5	100.00
CDL-D	10	5	100.00
CDL-D	8	5	0.00
CDL-D	7	5	0.00
CDL-D	6	6	0.00
CDL-D	5	6	0.00
CDL-D	4	6	0.00
CDL-D	3	6	0.00
CDL-D	2	6	0.00
CDL-D	9	6	0.15
CDL-D	1	6	0.00
CDL-D	12	6	100.00
CDL-D	11	6	100.00
CDL-D	10	6	100.00
CDL-D	8	6	0.00
CDL-D	7	6	0.00
CDL-D	6	7	0.00
CDL-D	5	7	0.00
CDL-D	4	7	0.00
CDL-D	3	7	0.00
CDL-D	2	7	0.00
CDL-D	9	7	0.00
CDL-D	1	7	0.00
CDL-D	12	7	100.00
CDL-D	11	7	100.00
CDL-D	8	7	0.00
CDL-D	10	7	13.55
CDL-D	7	7	0.00
CDL-D	6	8	0.00
CDL-D	5	8	0.00
CDL-D	4	8	0.00
CDL-D	3	8	0.00
CDL-D	2	8	0.00
CDL-D	9	8	0.00
CDL-D	1	8	0.00
CDL-D	11	8	99.65
CDL-D	10	8	0.15
CDL-D	12	8	100.00
CDL-D	8	8	0.00
CDL-D	7	8	0.00
CDL-D	6	9	0.00
CDL-D	5	9	0.00
CDL-D	4	9	0.00
CDL-D	3	9	0.00
CDL-D	2	9	0.00
CDL-D	9	9	0.00
CDL-D	1	9	0.00
CDL-D	10	9	0.00
CDL-D	11	9	7.20
CDL-D	8	9	0.00
CDL-D	12	9	100.00
CDL-D	7	9	0.00
CDL-D	6	10	0.00
CDL-D	5	10	0.00
CDL-D	4	10	0.00
CDL-D	3	10	0.00
CDL-D	2	10	0.00
CDL-D	9	10	0.00
CDL-D	1	10	0.00
CDL-D	10	10	0.00
CDL-D	11	10	0.05
CDL-D	8	10	0.00
CDL-D	12	10	96.00
CDL-D	7	10	0.00
CDL-E	6	0	99.90
CDL-E	5	0	99.85
CDL-E	4	0	98.05
CDL-E	3	0	89.05
CDL-E	2	0	79.40
CDL-E	12	0	100.00
CDL-E	11	0	100.00
CDL-E	10	0	100.00
CDL-E	9	0	100.00
CDL-E	1	0	37.30
CDL-E	8	0	100.00
CDL-E	7	0	100.00
CDL-E	6	1	48.70
CDL-E	5	1	44.55
CDL-E	4	1	28.50
CDL-E	3	1	15.15
CDL-E	2	1	4.00
CDL-E	11	1	100.00
CDL-E	12	1	100.00
CDL-E	9	1	100.00
CDL-E	10	1	100.00
CDL-E	1	1	0.05
CDL-E	8	1	100.00
CDL-E	7	1	100.00
CDL-E	6	2	0.70
CDL-E	5	2	0.40
CDL-E	4	2	0.95
CDL-E	3	2	0.30
CDL-E	2	2	0.00
CDL-E	11	2	100.00
CDL-E	9	2	100.00
CDL-E	12	2	100.00
CDL-E	10	2	100.00
CDL-E	1	2	0.00
CDL-E	8	2	100.00
CDL-E	7	2	7.60
CDL-E	6	3	0.00
CDL-E	5	3	0.00
